scenario_id,analysis_focus,base_value,annual_mu,annual_sigma,horizon_days,n_paths,seed,mean_terminal_value,p05_terminal_value,p25_terminal_value,p50_terminal_value,p75_terminal_value,p95_terminal_value,terminal_iqr,loss_probability,upside_20pct_probability,analysis_note
CASE_BASE,기준 기대수익률과 변동성에서 평균·중앙값·손실확률을 함께 읽기,100.0,0.06,0.18,252,5000,8101,106.505321,77.495039,92.67613,104.491431,118.281141,142.115744,25.605011,0.4024,0.2274,기준 구간: 평균과 하방 분위수의 차이를 손실확률과 함께 해석
CASE_LOW_VOL,변동성이 낮을 때 하방 분위수와 손실확률이 얼마나 안정되는지 확인,100.0,0.045,0.1,252,5000,8102,104.627591,88.142488,97.364386,104.083858,111.259814,122.657105,13.895427,0.3424,0.0802,"저변동성 구간: 손실확률 34.2%, 하방 분위수 방어 여부 확인"
CASE_HIGH_MU,평균 가정만 높아질 때 분포 전체가 어떻게 이동하는지 확인,100.0,0.095,0.18,252,5000,8103,109.321901,79.995266,95.648371,107.482394,121.381393,144.391336,25.733022,0.334,0.2682,기준 구간: 평균과 하방 분위수의 차이를 손실확률과 함께 해석
CASE_STRESS_VOL,스트레스 변동성에서 꼬리 폭과 손실확률이 커지는지 확인,100.0,0.025,0.32,252,5000,8104,103.443508,57.558059,79.455048,98.932689,121.956613,165.163754,42.501565,0.5158,0.2672,"변동성 충격 구간: 5%-95% 폭 107.61, 손실확률 51.6%"
CASE_SHORT_HORIZON,투자기간이 짧아질 때 drift와 diffusion이 함께 축소되는지 확인,100.0,0.06,0.18,63,5000,8105,101.48697,87.450192,95.109604,101.059672,107.612584,116.873737,12.50298,0.4582,0.025,기준 구간: 평균과 하방 분위수의 차이를 손실확률과 함께 해석
